HW,kernel,stride,Cin,Cout,FLOPs,latency
224,3,4,3,64,10838016,0.532
224,3,4,3,128,21676032,0.496
224,3,4,3,256,43352064,0.72
224,3,4,3,512,86704128,1.316
224,3,4,3,1024,173408256,2.2
224,3,4,32,3,5419008,0.965
224,3,4,32,32,57802752,1.487
224,3,4,32,64,115605504,1.918
224,3,4,32,128,231211008,2.55
224,3,4,32,256,462422016,3.323
224,3,4,32,512,924844032,5.174
224,3,4,32,1024,1849688064,8.807
224,3,4,64,3,10838016,1.868
224,3,4,64,32,115605504,2.872
224,3,4,64,64,231211008,3.197
224,3,4,64,128,462422016,3.822
224,3,4,64,256,924844032,5.753
224,3,4,64,512,1849688064,9.833
224,3,4,64,1024,3699376128,14.428
224,3,4,128,3,21676032,3.106
224,3,4,128,32,231211008,4.335
224,3,4,128,64,462422016,5.346
224,3,4,128,128,924844032,7.256
224,3,4,128,256,1849688064,10.768
224,3,4,128,512,3699376128,16.523
224,3,4,128,1024,7398752256,26.75
224,3,4,256,3,43352064,6.247
224,3,4,256,32,462422016,8.945
224,3,4,256,64,924844032,10.303
224,3,4,256,128,1849688064,14.604
224,3,4,256,256,3699376128,23.737
224,3,4,256,512,7398752256,33.54
224,3,4,256,1024,14797504512,52.085
224,3,4,512,3,86704128,11.79
224,3,4,512,32,924844032,18.05
224,3,4,512,64,1849688064,21.316
224,3,4,512,128,3699376128,29.613
224,3,4,512,256,7398752256,45.618
224,3,4,512,512,14797504512,64.413
224,3,4,512,1024,29595009024,105.252
224,3,4,1024,3,173408256,24.23
224,3,4,1024,32,1849688064,35.697
224,3,4,1024,64,3699376128,41.156
224,3,4,1024,128,7398752256,59.451
224,3,4,1024,256,14797504512,91.039
224,3,4,1024,512,29595009024,134.729
224,3,4,1024,1024,59190018048,207.35
224,5,1,3,3,22579200,1.39
224,5,1,3,32,240844800,3.119
224,5,1,3,64,481689600,4.058
224,5,1,3,128,963379200,6.984
224,5,1,3,256,1926758400,12.022
224,5,1,3,512,3853516800,20.362
224,5,1,3,1024,7707033600,38.716
224,5,1,32,3,240844800,21.77
224,5,1,32,32,2569011200,31.28
224,5,1,32,64,5138022400,34.702
224,5,1,32,128,10276044800,52.042
224,5,1,32,256,20552089600,80.492
224,5,1,32,512,41104179200,141.856
224,5,1,32,1024,82208358400,278.783
224,5,1,64,3,481689600,38.984
224,5,1,64,32,5138022400,61.385
224,5,1,64,64,10276044800,66.074
224,5,1,64,128,20552089600,100.691
224,5,1,64,256,41104179200,156.922
224,5,1,64,512,82208358400,277.565
224,5,1,64,1024,1.64417E+11,525.149
224,5,1,128,3,963379200,72.987
224,5,1,128,32,10276044800,114.871
224,5,1,128,64,20552089600,123.432
224,5,1,128,128,41104179200,189.678
224,5,1,128,256,82208358400,306.838
224,5,1,128,512,1.64417E+11,551.247
224,5,1,128,1024,3.28833E+11,1044.397
224,5,1,256,3,1926758400,153.606
224,5,1,256,32,20552089600,231.741
