HW,output,Cin,latency
32,28,243,0.209
32,28,273,0.236
32,28,303,0.242
32,28,333,0.261
32,28,363,0.262
32,28,393,0.352
32,28,423,0.305
32,28,453,0.31
32,28,483,0.355
32,28,513,0.407
32,28,543,0.405
32,28,573,0.424
32,28,603,0.436
32,28,633,0.454
32,28,663,0.464
32,28,693,0.497
32,28,723,0.541
32,28,753,0.53
32,28,783,0.584
32,28,813,0.587
32,28,843,0.582
32,28,873,0.605
32,28,903,0.632
32,28,933,0.664
32,28,963,0.687
32,28,993,0.69
32,28,1023,0.721
32,27,3,0.025
32,27,33,0.087
32,27,63,0.099
32,27,93,0.131
32,27,123,0.135
32,27,153,0.15
32,27,183,0.167
32,27,213,0.19
32,27,243,0.201
32,27,273,0.248
32,27,303,0.255
32,27,333,0.259
32,27,363,0.271
32,27,393,0.3
32,27,423,0.328
32,27,453,0.346
32,27,483,0.35
32,27,513,0.406
32,27,543,0.413
32,27,573,0.464
32,27,603,0.445
32,27,633,0.481
32,27,663,0.521
32,27,693,0.562
32,27,723,0.539
32,27,753,0.563
32,27,783,0.574
32,27,813,0.592
32,27,843,0.601
32,27,873,0.648
32,27,903,0.645
32,27,933,0.69
32,27,963,0.683
32,27,993,0.723
32,27,1023,0.725
32,14,3,0.024
32,14,33,0.052
32,14,63,0.084
32,14,93,0.101
32,14,123,0.114
32,14,153,0.134
32,14,183,0.135
32,14,213,0.158
32,14,243,0.156
32,14,273,0.165
32,14,303,0.186
32,14,333,0.185
32,14,363,0.188
32,14,393,0.224
32,14,423,0.219
32,14,453,0.253
32,14,483,0.237
32,14,513,0.248
32,14,543,0.279
32,14,573,0.264
32,14,603,0.258
32,14,633,0.298
32,14,663,0.301
32,14,693,0.302
32,14,723,0.353
32,14,753,0.353
32,14,783,0.424
32,14,813,0.473
32,14,843,0.458
32,14,873,0.391
32,14,903,0.363
32,14,933,0.383
32,14,963,0.4
32,14,993,0.391
32,14,1023,0.389
32,13,3,0.036
32,13,33,0.058
32,13,63,0.083
32,13,93,0.103
32,13,123,0.113
32,13,153,0.132
32,13,183,0.133
32,13,213,0.147
32,13,243,0.146
32,13,273,0.172
