HW,Cin,latency
56,858,1.641
56,863,1.944
56,868,1.944
56,873,1.986
56,878,1.653
56,883,1.973
56,888,1.98
56,893,1.993
56,898,1.691
56,903,2.027
56,908,2.026
56,913,2.092
56,918,1.778
56,923,2.095
56,928,2.096
56,933,2.094
56,938,1.767
56,943,2.132
56,948,2.133
56,953,2.133
56,958,1.804
56,963,2.207
56,968,2.149
56,973,2.175
56,978,1.835
56,983,2.223
56,988,2.208
56,993,2.265
56,998,1.886
56,1003,2.251
56,1008,2.259
56,1013,2.266
56,1018,1.915
56,1023,2.296
32,3,0.049
32,8,0.062
32,13,0.065
32,18,0.073
32,23,0.078
32,28,0.082
32,33,0.162
32,38,0.151
32,43,0.14
32,48,0.145
32,53,0.182
32,58,0.166
32,63,0.155
32,68,0.175
32,73,0.186
32,78,0.173
32,83,0.192
32,88,0.21
32,93,0.232
32,98,0.225
32,103,0.252
32,108,0.216
32,113,0.221
32,118,0.25
32,123,0.234
32,128,0.291
32,133,0.249
32,138,0.252
32,143,0.338
32,148,0.291
32,153,0.273
32,158,0.286
32,163,0.292
32,168,0.305
32,173,0.336
32,178,0.29
32,183,0.347
32,188,0.34
32,193,0.31
32,198,0.349
32,203,0.363
32,208,0.355
32,213,0.376
32,218,0.323
32,223,0.343
32,228,0.379
32,233,0.387
32,238,0.367
32,243,0.373
32,248,0.37
32,253,0.407
32,258,0.397
32,263,0.412
32,268,0.405
32,273,0.416
32,278,0.388
32,283,0.443
32,288,0.382
32,293,0.444
32,298,0.409
32,303,0.411
32,308,0.434
32,313,0.462
32,318,0.425
32,323,0.422
32,328,0.452
32,333,0.46
32,338,0.431
32,343,0.438
32,348,0.453
32,353,0.456
32,358,0.465
32,363,0.523
32,368,0.45
32,373,0.466
32,378,0.545
32,383,0.501
32,388,0.539
32,393,0.578
32,398,0.59
32,403,0.535
32,408,0.548
32,413,0.559
32,418,0.576
32,423,0.558
32,428,0.559
32,433,0.625
32,438,0.594
32,443,0.668
32,448,0.577
32,453,0.608
32,458,0.607
32,463,0.603
32,468,0.626
32,473,0.665
32,478,0.627
32,483,0.616
32,488,0.665
32,493,0.681
32,498,0.633
32,503,0.687
32,508,0.671
32,513,0.677
32,518,0.665
32,523,0.77
32,528,0.696
32,533,0.69
32,538,0.67
32,543,0.704
32,548,0.697
32,553,0.705
32,558,0.733
32,563,0.746
32,568,0.729
32,573,0.78
32,578,0.745
32,583,0.733
32,588,0.725
32,593,0.761
32,598,0.787
32,603,0.725
32,608,0.749
32,613,0.749
32,618,0.77
32,623,0.753
32,628,0.772
32,633,0.8
32,638,0.76
32,643,0.797
32,648,0.811
32,653,0.778
32,658,0.749
32,663,0.803
32,668,0.804
32,673,0.769
32,678,0.801
32,683,0.775
32,688,0.806
32,693,0.811
32,698,0.798
32,703,0.835
32,708,0.849
32,713,0.756
32,718,0.803
32,723,0.808
32,728,0.792
32,733,0.79
32,738,0.817
32,743,0.87
32,748,0.78
32,753,0.87
32,758,0.841
32,763,0.851
32,768,0.876
32,773,0.894
32,778,0.88
32,783,0.877
32,788,0.867
32,793,0.881
32,798,0.912
32,803,0.923
32,808,0.893
32,813,0.912
32,818,0.911
32,823,0.91
32,828,0.863
32,833,0.875
32,838,0.901
32,843,0.944
32,848,0.917
32,853,0.944
32,858,0.946
32,863,0.971
32,868,0.929
32,873,0.955
32,878,0.953
32,883,0.969
32,888,0.916
32,893,0.969
32,898,0.96
32,903,0.969
32,908,0.933
32,913,0.956
32,918,0.965
32,923,1.017
32,928,0.997
32,933,0.97
32,938,1.005
32,943,1.009
32,948,0.989
32,953,1.036
32,958,1.027
32,963,1.022
32,968,1.03
32,973,1.002
32,978,1.07
32,983,1.032
32,988,1.04
32,993,1.074
32,998,1.032
32,1003,1.075
32,1008,1.069
32,1013,1.072
32,1018,1.112
32,1023,1.106
28,3,0.049
28,8,0.058
28,13,0.073
28,18,0.067
28,23,0.074
28,28,0.074
28,33,0.08
28,38,0.081
28,43,0.121
28,48,0.167
28,53,0.152
28,58,0.148
28,63,0.167
28,68,0.18
28,73,0.166
28,78,0.157
28,83,0.196
28,88,0.254
28,93,0.232
28,98,0.178
28,103,0.224
28,108,0.23
28,113,0.214
28,118,0.233
28,123,0.255
28,128,0.219
28,133,0.244
28,138,0.223
28,143,0.234
28,148,0.224
28,153,0.279
28,158,0.283
28,163,0.251
28,168,0.277
28,173,0.263
28,178,0.265
28,183,0.292
28,188,0.294
28,193,0.304
28,198,0.305
28,203,0.33
28,208,0.32
28,213,0.298
28,218,0.337
28,223,0.338
28,228,0.351
28,233,0.31
28,238,0.344
28,243,0.344
28,248,0.329
28,253,0.355
28,258,0.37
28,263,0.368
28,268,0.358
28,273,0.354
28,278,0.366
28,283,0.358
28,288,0.385
28,293,0.394
28,298,0.392
28,303,0.39
28,308,0.389
28,313,0.443
28,318,0.404
28,323,0.378
28,328,0.432
28,333,0.412
28,338,0.429
28,343,0.388
28,348,0.431
28,353,0.391
28,358,0.424
28,363,0.427
28,368,0.443
28,373,0.432
28,378,0.449
28,383,0.454
28,388,0.445
28,393,0.436
28,398,0.456
28,403,0.426
28,408,0.456
28,413,0.442
28,418,0.464
28,423,0.458
28,428,0.478
28,433,0.465
28,438,0.46
28,443,0.468
28,448,0.499
28,453,0.474
28,458,0.491
28,463,0.482
28,468,0.547
28,473,0.501
28,478,0.503
28,483,0.504
28,488,0.52
28,493,0.553
28,498,0.537
28,503,0.576
28,508,0.575
28,513,0.54
28,518,0.599
28,523,0.591
28,528,0.649
28,533,0.594
28,538,0.611
28,543,0.622
28,548,0.652
28,553,0.596
28,558,0.685
28,563,0.617
28,568,0.656
28,573,0.594
28,578,0.627
28,583,0.599
28,588,0.64
28,593,0.645
28,598,0.667
28,603,0.661
28,608,0.657
28,613,0.659
28,618,0.623
28,623,0.654
28,628,0.693
28,633,0.696
28,638,0.66
28,643,0.692
28,648,0.647
28,653,0.679
28,658,0.69
28,663,0.719
28,668,0.701
28,673,0.729
28,678,0.7
28,683,0.73
28,688,0.689
28,693,0.756
28,698,0.706
28,703,0.721
28,708,0.691
28,713,0.72
28,718,0.751
28,723,0.761
28,728,0.774
28,733,0.765
28,738,0.76
28,743,0.725
28,748,0.76
28,753,0.753
28,758,0.753
28,763,0.841
28,768,0.819
28,773,0.763
28,778,0.778
28,783,0.785
28,788,0.759
28,793,0.751
28,798,0.815
28,803,0.8
28,808,0.797
28,813,0.788
28,818,0.789
28,823,0.795
28,828,0.793
28,833,0.794
28,838,0.841
28,843,0.814
28,848,0.815
28,853,0.807
28,858,0.809
28,863,0.809
28,868,0.798
28,873,0.838
28,878,0.823
28,883,0.824
28,888,0.845
28,893,0.878
28,898,0.83
28,903,0.847
28,908,0.842
28,913,0.847
28,918,0.849
28,923,0.84
28,928,0.866
28,933,0.897
28,938,0.852
28,943,0.846
28,948,0.886
28,953,0.876
28,958,0.874
28,963,0.824
28,968,0.857
28,973,0.901
28,978,0.848
28,983,0.876
28,988,0.917
28,993,0.874
28,998,0.896
28,1003,0.855
28,1008,0.903
28,1013,0.895
28,1018,0.917
28,1023,0.863
27,3,0.045
27,8,0.054
27,13,0.075
27,18,0.064
27,23,0.062
27,28,0.064
27,33,0.078
27,38,0.11
27,43,0.088
27,48,0.147
27,53,0.157
27,58,0.146
27,63,0.148
27,68,0.163
27,73,0.202
27,78,0.202
27,83,0.181
27,88,0.217
27,93,0.187
27,98,0.192
27,103,0.223
27,108,0.204
27,113,0.212
27,118,0.219
27,123,0.231
27,128,0.233
27,133,0.258
27,138,0.235
27,143,0.213
27,148,0.267
27,153,0.236
27,158,0.277
27,163,0.268
27,168,0.277
27,173,0.267
27,178,0.269
27,183,0.279
27,188,0.298
27,193,0.285
27,198,0.31
27,203,0.323
27,208,0.295
27,213,0.286
27,218,0.322
27,223,0.295
27,228,0.31
27,233,0.3
27,238,0.316
27,243,0.33
27,248,0.348
27,253,0.327
27,258,0.325
27,263,0.347
27,268,0.362
27,273,0.38
27,278,0.353
27,283,0.355
27,288,0.376
27,293,0.409
27,298,0.385
27,303,0.384
27,308,0.373
27,313,0.387
27,318,0.412
27,323,0.395
27,328,0.385
27,333,0.43
27,338,0.42
27,343,0.4
27,348,0.431
27,353,0.408
27,358,0.428
27,363,0.429
27,368,0.42
27,373,0.433
27,378,0.433
27,383,0.435
27,388,0.444
27,393,0.415
27,398,0.46
27,403,0.431
27,408,0.453
27,413,0.462
27,418,0.474
27,423,0.448
27,428,0.439
27,433,0.458
27,438,0.446
27,443,0.441
27,448,0.437
27,453,0.449
27,458,0.457
27,463,0.498
27,468,0.447
27,473,0.486
27,478,0.479
27,483,0.52
27,488,0.474
27,493,0.542
27,498,0.5
27,503,0.512
27,508,0.514
27,513,0.5
27,518,0.517
27,523,0.522
27,528,0.522
27,533,0.525
27,538,0.538
27,543,0.616
27,548,0.61
27,553,0.565
27,558,0.635
27,563,0.59
27,568,0.623
27,573,0.597
27,578,0.624
27,583,0.574
27,588,0.617
27,593,0.64
27,598,0.645
27,603,0.634
27,608,0.662
27,613,0.613
27,618,0.65
27,623,0.661
27,628,0.658
27,633,0.662
27,638,0.624
27,643,0.695
27,648,0.671
27,653,0.661
27,658,0.679
27,663,0.666
27,668,0.662
27,673,0.664
27,678,0.703
27,683,0.701
27,688,0.736
27,693,0.67
27,698,0.741
27,703,0.696
27,708,0.692
27,713,0.673
27,718,0.696
27,723,0.734
27,728,0.694
27,733,0.741
27,738,0.712
27,743,0.728
27,748,0.73
27,753,0.74
27,758,0.737
27,763,0.76
27,768,0.762
27,773,0.753
27,778,0.766
27,783,0.753
27,788,0.756
27,793,0.773
27,798,0.733
27,803,0.744
27,808,0.766
27,813,0.771
27,818,0.786
27,823,0.774
27,828,0.782
27,833,0.801
27,838,0.771
27,843,0.79
27,848,0.795
27,853,0.759
27,858,0.792
27,863,0.805
27,868,0.785
27,873,0.796
27,878,0.812
27,883,0.807
27,888,0.829
27,893,0.817
27,898,0.823
27,903,0.844
27,908,0.817
27,913,0.825
27,918,0.846
27,923,0.839
27,928,0.853
27,933,0.836
27,938,0.861
27,943,0.852
27,948,0.849
27,953,0.828
27,958,0.827
27,963,0.86
27,968,0.895
27,973,0.869
27,978,0.839
27,983,0.866
27,988,0.883
27,993,0.864
27,998,0.863
27,1003,0.871
27,1008,0.86
27,1013,0.886
27,1018,0.893
27,1023,0.876
14,3,0.036
14,8,0.052
14,13,0.052
14,18,0.052
14,23,0.057
14,28,0.058
14,33,0.059
14,38,0.055
14,43,0.085
14,48,0.07
14,53,0.08
14,58,0.069
14,63,0.084
14,68,0.072
14,73,0.078
14,78,0.078
14,83,0.08
14,88,0.094
14,93,0.093
14,98,0.099
14,103,0.087
14,108,0.091
14,113,0.111
14,118,0.093
14,123,0.095
14,128,0.102
14,133,0.114
14,138,0.114
14,143,0.12
14,148,0.126
14,153,0.129
14,158,0.125
14,163,0.128
14,168,0.201
14,173,0.187
14,178,0.189
14,183,0.214
14,188,0.167
14,193,0.199
14,198,0.191
14,203,0.198
14,208,0.193
14,213,0.196
14,218,0.181
14,223,0.265
14,228,0.201
14,233,0.189
14,238,0.217
14,243,0.214
14,248,0.206
14,253,0.255
14,258,0.238
14,263,0.267
14,268,0.254
14,273,0.249
14,278,0.266
14,283,0.256
14,288,0.258
14,293,0.24
14,298,0.242
14,303,0.241
14,308,0.248
14,313,0.259
14,318,0.266
14,323,0.288
14,328,0.267
14,333,0.27
14,338,0.295
14,343,0.263
14,348,0.264
14,353,0.271
14,358,0.279
14,363,0.29
14,368,0.268
14,373,0.276
14,378,0.294
14,383,0.309
14,388,0.29
14,393,0.273
14,398,0.34
14,403,0.29
14,408,0.276
14,413,0.301
14,418,0.292
14,423,0.316
14,428,0.33
14,433,0.298
14,438,0.326
14,443,0.341
14,448,0.313
14,453,0.309
14,458,0.351
14,463,0.342
14,468,0.351
14,473,0.368
14,478,0.322
14,483,0.338
14,488,0.338
14,493,0.347
14,498,0.365
14,503,0.332
14,508,0.333
14,513,0.359
14,518,0.37
14,523,0.346
14,528,0.378
14,533,0.351
14,538,0.363
14,543,0.378
14,548,0.364
14,553,0.381
14,558,0.385
14,563,0.349
14,568,0.355
14,573,0.386
14,578,0.362
14,583,0.364
14,588,0.371
14,593,0.401
14,598,0.352
14,603,0.361
14,608,0.386
14,613,0.324
14,618,0.405
14,623,0.398
14,628,0.384
14,633,0.389
14,638,0.414
14,643,0.388
14,648,0.409
14,653,0.428
14,658,0.398
14,663,0.43
14,668,0.383
14,673,0.389
14,678,0.431
14,683,0.431
14,688,0.412
14,693,0.395
14,698,0.406
14,703,0.449
14,708,0.386
14,713,0.379
14,718,0.429
14,723,0.412
14,728,0.396
14,733,0.368
14,738,0.425
14,743,0.407
14,748,0.393
14,753,0.399
14,758,0.472
14,763,0.4
14,768,0.424
14,773,0.415
14,778,0.44
14,783,0.452
14,788,0.427
14,793,0.508
14,798,0.41
14,803,0.417
14,808,0.42
14,813,0.411
14,818,0.43
14,823,0.428
14,828,0.414
14,833,0.407
14,838,0.49
14,843,0.43
14,848,0.459
14,853,0.483
14,858,0.463
14,863,0.505
