HW,kernel,stride,Cin,FLOPs,latency
56,1,1,3,75264,0.024
56,1,1,6,263424,0.042
56,1,1,8,451584,0.053
56,1,1,16,1705984,0.101
56,1,1,32,6623232,0.195
56,1,1,64,26091520,0.409
56,1,1,128,103563264,0.823
56,1,1,256,412647424,1.851
56,1,1,512,1647378432,3.759
56,1,1,1024,6583091200,7.711
56,1,2,3,19494,0.023
56,1,2,6,68229,0.038
56,1,2,8,116964,0.049
56,1,2,16,441864,0.166
56,1,2,32,1715472,0.268
56,1,2,64,6757920,0.348
56,1,2,128,26823744,0.8
56,1,2,256,106879104,1.522
56,1,2,512,426684672,2.998
56,1,2,1024,1705075200,6.109
56,1,4,3,5221.5,0.021
56,1,4,6,18275.25,0.035
56,1,4,8,31329,0.044
56,1,4,16,118354,0.081
56,1,4,32,459492,0.157
56,1,4,64,1810120,0.417
56,1,4,128,7184784,0.611
56,1,4,256,28627744,1.323
56,1,4,512,114288192,2.78
56,1,4,1024,456707200,5.413
56,3,1,3,217800,0.05
56,3,1,6,544500,0.078
56,3,1,8,822800,0.114
56,3,1,16,2420000,0.122
56,3,1,32,7937600,0.171
56,3,1,64,28265600,0.263
56,3,1,128,106092800,0.488
56,3,1,256,410432000,0.789
56,3,1,512,1613849600,1.301
56,3,1,1024,6399641600,1.672
56,3,2,3,56448,0.121
56,3,2,6,141120,0.164
56,3,2,8,213248,0.254
56,3,2,16,627200,0.498
56,3,2,32,2057216,0.958
56,3,2,64,7325696,1.945
56,3,2,128,27496448,3.863
56,3,2,256,106373120,8.303
56,3,2,512,418267136,15.722
56,3,2,1024,1658617856,32.147
56,3,4,3,15138,0.102
56,3,4,6,37845,0.143
56,3,4,8,57188,0.215
56,3,4,16,168200,0.4
56,3,4,32,551696,0.73
56,3,4,64,1964576,1.556
56,3,4,128,7373888,3.153
56,3,4,256,28526720,6.71
56,3,4,512,112169216,13.071
56,3,4,1024,444801536,26.913
56,5,1,3,489888,0.184
56,5,1,6,1084752,0.352
56,5,1,8,1539648,0.452
56,5,1,16,3825792,0.856
56,5,1,32,10637568,1.661
56,5,1,64,33219072,3.292
56,5,1,128,114213888,6.598
56,5,1,256,419530752,13.079
56,5,1,512,1603473408,26.017
56,5,1,1024,6264594432,49.543
56,5,2,3,127050,0.153
56,5,2,6,281325,0.279
56,5,2,8,399300,0.442
56,5,2,16,992200,0.835
56,5,2,32,2758800,1.601
56,5,2,64,8615200,3.186
56,5,2,128,29620800,6.418
56,5,2,256,108803200,12.634
56,5,2,512,415852800,24.966
56,5,2,1024,1624691200,50.506
56,5,4,3,34114.5,0.121
56,5,4,6,75539.25,0.214
56,5,4,8,107217,0.269
56,5,4,16,266418,0.466
56,5,4,32,740772,0.922
56,5,4,64,2313288,1.797
56,5,4,128,7953552,3.747
56,5,4,256,29215008,7.832
56,5,4,512,111661632,16.846
56,5,4,1024,436249728,33.007
56,7,1,3,876408,0.276
56,7,1,6,1853940,0.604
56,7,1,8,2561808,0.735
56,7,1,16,5842720,1.343
56,7,1,32,14561856,2.528
56,7,1,64,40629376,5.016
56,7,1,128,127281408,10.389
