HW,kernel,stride,Cin,latency
56,1,4,653,0.466
56,1,4,703,0.462
56,1,4,753,0.472
56,1,4,803,0.512
56,1,4,853,0.484
56,1,4,903,0.432
56,1,4,953,0.504
56,1,4,1003,0.513
56,3,1,3,0.084
56,3,1,53,0.708
56,3,1,103,1.304
56,3,1,153,1.952
56,3,1,203,2.538
56,3,1,253,3.146
56,3,1,303,3.795
56,3,1,353,4.36
56,3,1,403,4.935
56,3,1,453,5.616
56,3,1,503,6.222
56,3,1,553,6.827
56,3,1,603,7.424
56,3,1,653,8.014
56,3,1,703,8.338
56,3,1,753,8.972
56,3,1,803,9.26
56,3,1,853,10.109
56,3,1,903,10.725
56,3,1,953,11.534
56,3,1,1003,11.869
56,3,2,3,0.046
56,3,2,53,0.266
56,3,2,103,0.495
56,3,2,153,0.601
56,3,2,203,0.755
56,3,2,253,0.99
56,3,2,303,1.039
56,3,2,353,1.212
56,3,2,403,1.347
56,3,2,453,1.562
56,3,2,503,1.701
56,3,2,553,1.901
56,3,2,603,2.051
56,3,2,653,2.201
56,3,2,703,2.385
56,3,2,753,2.585
56,3,2,803,2.789
56,3,2,853,2.848
56,3,2,903,3.111
56,3,2,953,3.236
56,3,2,1003,3.293
56,3,4,3,0.039
56,3,4,53,0.17
56,3,4,103,0.211
56,3,4,153,0.36
56,3,4,203,0.409
56,3,4,253,0.356
56,3,4,303,0.506
56,3,4,353,0.51
56,3,4,403,0.573
56,3,4,453,0.662
56,3,4,503,0.74
56,3,4,553,0.647
56,3,4,603,0.749
56,3,4,653,0.826
56,3,4,703,0.713
56,3,4,753,0.797
56,3,4,803,0.9
56,3,4,853,0.871
56,3,4,903,0.84
56,3,4,953,0.932
56,3,4,1003,1.017
56,5,1,3,0.198
56,5,1,53,2.151
56,5,1,103,4.384
56,5,1,153,6.174
56,5,1,203,8.012
56,5,1,253,9.969
56,5,1,303,12.01
56,5,1,353,13.949
56,5,1,403,16.115
56,5,1,453,17.487
56,5,1,503,19.591
56,5,1,553,21.543
56,5,1,603,22.637
56,5,1,653,24.647
56,5,1,703,26.887
56,5,1,753,28.921
56,5,1,803,30.269
56,5,1,853,32.735
56,5,1,903,34.283
56,5,1,953,35.259
56,5,1,1003,37.668
56,5,2,3,0.067
56,5,2,53,0.6
56,5,2,103,1.219
56,5,2,153,1.644
56,5,2,203,2.053
56,5,2,253,2.63
56,5,2,303,3.107
56,5,2,353,3.591
56,5,2,403,4.083
56,5,2,453,4.569
56,5,2,503,5.112
56,5,2,553,5.578
56,5,2,603,6.12
56,5,2,653,6.626
56,5,2,703,7.053
56,5,2,753,7.541
56,5,2,803,8.285
56,5,2,853,8.655
56,5,2,903,9.024
56,5,2,953,9.644
56,5,2,1003,10.146
56,5,4,3,0.048
56,5,4,53,0.255
56,5,4,103,0.471
56,5,4,153,0.585
56,5,4,203,0.818
56,5,4,253,0.917
56,5,4,303,1.115
56,5,4,353,1.199
56,5,4,403,1.137
56,5,4,453,1.392
56,5,4,503,1.449
56,5,4,553,1.614
56,5,4,603,1.663
56,5,4,653,1.835
56,5,4,703,1.914
56,5,4,753,2.009
56,5,4,803,2.244
56,5,4,853,2.344
56,5,4,903,2.39
56,5,4,953,2.52
56,5,4,1003,2.938
56,7,1,3,0.32
56,7,1,53,4.354
56,7,1,103,8.272
56,7,1,153,12.422
56,7,1,203,16.195
56,7,1,253,19.816
56,7,1,303,24.25
56,7,1,353,27.697
56,7,1,403,31.993
56,7,1,453,35.854
56,7,1,503,38.759
56,7,1,553,43.711
56,7,1,603,47.941
56,7,1,653,50.49
56,7,1,703,54.408
56,7,1,753,56.832
56,7,1,803,60.581
56,7,1,853,66.28
56,7,1,903,69.254
56,7,1,953,72.439
56,7,1,1003,76.9
56,7,2,3,0.112
56,7,2,53,1.137
56,7,2,103,2.307
56,7,2,153,3.177
56,7,2,203,4.259
56,7,2,253,5.276
56,7,2,303,6.319
56,7,2,353,7.305
56,7,2,403,8.244
56,7,2,453,9.352
56,7,2,503,10.324
56,7,2,553,11.299
56,7,2,603,12.251
56,7,2,653,13.293
56,7,2,703,14.424
56,7,2,753,15.543
56,7,2,803,16.606
56,7,2,853,17.245
56,7,2,903,18.178
56,7,2,953,19.192
56,7,2,1003,19.979
56,7,4,3,0.063
56,7,4,53,0.416
56,7,4,103,0.792
56,7,4,153,0.981
56,7,4,203,1.249
56,7,4,253,1.573
56,7,4,303,1.758
56,7,4,353,2.006
56,7,4,403,2.311
56,7,4,453,2.668
56,7,4,503,2.743
56,7,4,553,3.214
56,7,4,603,3.419
56,7,4,653,3.611
56,7,4,703,3.82
56,7,4,753,4.16
56,7,4,803,4.401
56,7,4,853,4.729
56,7,4,903,4.809
56,7,4,953,5.241
56,7,4,1003,5.487
56,9,1,3,0.557
56,9,1,53,7.808
56,9,1,103,15.289
56,9,1,153,21.258
56,9,1,203,29.258
56,9,1,253,35.726
56,9,1,303,43.059
56,9,1,353,49.281
56,9,1,403,58.342
56,9,1,453,63.365
56,9,1,503,69.926
56,9,1,553,76.095
56,9,1,603,84.313
56,9,1,653,91.044
56,9,1,703,95.983
56,9,1,753,102.972
56,9,1,803,110.23
56,9,1,853,117.243
56,9,1,903,122.316
56,9,1,953,131.243
56,9,1,1003,139.582
56,9,2,3,0.177
56,9,2,53,2.023
56,9,2,103,3.895
56,9,2,153,5.696
56,9,2,203,7.538
56,9,2,253,9.39
56,9,2,303,11.182
56,9,2,353,12.786
56,9,2,403,14.636
56,9,2,453,16.213
56,9,2,503,18.173
56,9,2,553,19.437
56,9,2,603,22.075
56,9,2,653,23.64
56,9,2,703,24.43
56,9,2,753,27.56
56,9,2,803,29.248
56,9,2,853,29.779
56,9,2,903,31.852
56,9,2,953,33.35
56,9,2,1003,35.26
56,9,4,3,0.085
56,9,4,53,0.623
56,9,4,103,1.165
56,9,4,153,1.561
56,9,4,203,2.06
56,9,4,253,2.509
56,9,4,303,3.065
56,9,4,353,3.454
56,9,4,403,3.909
56,9,4,453,4.352
56,9,4,503,4.89
56,9,4,553,5.313
56,9,4,603,5.785
56,9,4,653,6.286
56,9,4,703,6.523
56,9,4,753,6.981
56,9,4,803,7.498
56,9,4,853,8.181
56,9,4,903,8.409
56,9,4,953,8.666
56,9,4,1003,9.372
32,1,1,3,0.041
32,1,1,53,0.162
32,1,1,103,0.195
32,1,1,153,0.334
32,1,1,203,0.337
32,1,1,253,0.434
32,1,1,303,0.492
32,1,1,353,0.576
32,1,1,403,0.688
32,1,1,453,0.8
32,1,1,503,0.858
32,1,1,553,0.903
32,1,1,603,1.004
32,1,1,653,1.058
32,1,1,703,1.136
32,1,1,753,1.233
32,1,1,803,1.285
32,1,1,853,1.397
32,1,1,903,1.472
32,1,1,953,1.513
32,1,1,1003,1.606
32,1,2,3,0.027
32,1,2,53,0.115
32,1,2,103,0.125
32,1,2,153,0.143
32,1,2,203,0.211
32,1,2,253,0.247
32,1,2,303,0.358
32,1,2,353,0.24
32,1,2,403,0.311
32,1,2,453,0.282
32,1,2,503,0.363
32,1,2,553,0.333
32,1,2,603,0.388
32,1,2,653,0.428
32,1,2,703,0.385
32,1,2,753,0.369
32,1,2,803,0.43
32,1,2,853,0.442
32,1,2,903,0.503
32,1,2,953,0.439
32,1,2,1003,0.503
32,1,4,3,0.042
32,1,4,53,0.039
32,1,4,103,0.068
32,1,4,153,0.113
32,1,4,203,0.211
32,1,4,253,0.171
32,1,4,303,0.173
32,1,4,353,0.202
32,1,4,403,0.309
32,1,4,453,0.244
32,1,4,503,0.288
32,1,4,553,0.24
32,1,4,603,0.345
32,1,4,653,0.272
32,1,4,703,0.365
32,1,4,753,0.305
32,1,4,803,0.223
32,1,4,853,0.267
32,1,4,903,0.327
32,1,4,953,0.379
32,1,4,1003,0.315
32,3,1,3,0.045
32,3,1,53,0.268
32,3,1,103,0.444
32,3,1,153,0.744
32,3,1,203,0.851
32,3,1,253,1.028
32,3,1,303,1.206
32,3,1,353,1.431
32,3,1,403,1.654
32,3,1,453,1.891
32,3,1,503,2.036
32,3,1,553,2.264
32,3,1,603,2.46
32,3,1,653,2.694
32,3,1,703,2.863
32,3,1,753,3.006
32,3,1,803,3.233
32,3,1,853,3.415
32,3,1,903,3.635
32,3,1,953,3.816
32,3,1,1003,4.005
32,3,2,3,0.049
32,3,2,53,0.146
32,3,2,103,0.186
32,3,2,153,0.281
32,3,2,203,0.321
32,3,2,253,0.415
32,3,2,303,0.465
32,3,2,353,0.563
32,3,2,403,0.659
32,3,2,453,0.599
32,3,2,503,0.655
32,3,2,553,0.849
32,3,2,603,0.696
32,3,2,653,0.774
32,3,2,703,0.878
32,3,2,753,0.826
32,3,2,803,0.91
32,3,2,853,1.02
32,3,2,903,0.995
32,3,2,953,1.069
32,3,2,1003,1.106
32,3,4,3,0.039
32,3,4,53,0.052
32,3,4,103,0.091
32,3,4,153,0.179
32,3,4,203,0.22
32,3,4,253,0.211
32,3,4,303,0.255
32,3,4,353,0.233
32,3,4,403,0.33
32,3,4,453,0.372
32,3,4,503,0.394
32,3,4,553,0.397
32,3,4,603,0.387
32,3,4,653,0.368
32,3,4,703,0.34
32,3,4,753,0.415
32,3,4,803,0.512
32,3,4,853,0.52
32,3,4,903,0.4
32,3,4,953,0.478
32,3,4,1003,0.56
32,5,1,3,0.079
32,5,1,53,0.713
32,5,1,103,1.374
32,5,1,153,1.935
32,5,1,203,2.559
32,5,1,253,3.197
32,5,1,303,3.808
32,5,1,353,4.397
32,5,1,403,5.095
32,5,1,453,5.745
32,5,1,503,6.351
32,5,1,553,7.042
32,5,1,603,7.544
32,5,1,653,8.212
32,5,1,703,8.692
32,5,1,753,9.276
32,5,1,803,10.051
32,5,1,853,10.495
32,5,1,903,11.144
32,5,1,953,11.765
32,5,1,1003,12.338
32,5,2,3,0.059
32,5,2,53,0.261
32,5,2,103,0.396
32,5,2,153,0.615
32,5,2,203,0.72
32,5,2,253,0.941
32,5,2,303,1.157
32,5,2,353,1.214
32,5,2,403,1.354
32,5,2,453,1.503
32,5,2,503,1.687
32,5,2,553,1.857
32,5,2,603,2.016
32,5,2,653,2.178
32,5,2,703,2.326
32,5,2,753,2.408
32,5,2,803,2.597
32,5,2,853,2.745
32,5,2,903,2.955
32,5,2,953,3.096
32,5,2,1003,3.284
32,5,4,3,0.029
32,5,4,53,0.109
