HW,Cin,latency
32,958,0.189
32,963,0.191
32,968,0.192
32,973,0.194
32,978,0.195
32,983,0.198
32,988,0.202
32,993,0.203
32,998,0.2
32,1003,0.198
32,1008,0.198
32,1013,0.2
32,1018,0.199
32,1023,0.203
28,3,0.093
28,8,0.08
28,13,0.089
28,18,0.092
28,23,0.091
28,28,0.091
28,33,0.091
28,38,0.095
28,43,0.095
28,48,0.107
28,53,0.109
28,58,0.104
28,63,0.11
28,68,0.11
28,73,0.131
28,78,0.107
28,83,0.095
28,88,0.094
28,93,0.104
28,98,0.103
28,103,0.099
28,108,0.102
28,113,0.109
28,118,0.111
28,123,0.105
28,128,0.097
28,133,0.097
28,138,0.108
28,143,0.115
28,148,0.103
28,153,0.111
28,158,0.105
28,163,0.111
28,168,0.109
28,173,0.114
28,178,0.111
28,183,0.106
28,188,0.114
28,193,0.115
28,198,0.116
28,203,0.11
28,208,0.112
28,213,0.114
28,218,0.112
28,223,0.11
28,228,0.109
28,233,0.109
28,238,0.123
28,243,0.114
28,248,0.109
28,253,0.111
28,258,0.114
28,263,0.117
28,268,0.127
28,273,0.121
28,278,0.122
28,283,0.124
28,288,0.115
28,293,0.113
28,298,0.122
28,303,0.115
28,308,0.117
28,313,0.118
28,318,0.126
28,323,0.128
28,328,0.124
28,333,0.118
28,338,0.121
28,343,0.123
28,348,0.134
28,353,0.129
28,358,0.125
28,363,0.129
28,368,0.126
28,373,0.125
28,378,0.127
28,383,0.127
28,388,0.128
28,393,0.127
28,398,0.133
28,403,0.129
28,408,0.128
28,413,0.137
28,418,0.131
28,423,0.131
28,428,0.128
28,433,0.129
28,438,0.131
28,443,0.138
28,448,0.134
28,453,0.137
28,458,0.141
28,463,0.136
28,468,0.136
28,473,0.146
28,478,0.134
28,483,0.141
28,488,0.145
28,493,0.137
28,498,0.143
28,503,0.136
28,508,0.136
28,513,0.143
28,518,0.141
28,523,0.145
28,528,0.148
28,533,0.147
28,538,0.144
28,543,0.144
28,548,0.142
28,553,0.147
28,558,0.145
28,563,0.151
28,568,0.146
28,573,0.156
28,578,0.149
28,583,0.148
28,588,0.15
28,593,0.151
28,598,0.154
28,603,0.154
28,608,0.151
28,613,0.154
28,618,0.151
28,623,0.153
28,628,0.15
28,633,0.152
28,638,0.156
28,643,0.159
28,648,0.157
28,653,0.161
28,658,0.158
28,663,0.158
28,668,0.153
28,673,0.152
28,678,0.158
28,683,0.157
28,688,0.161
28,693,0.16
28,698,0.157
28,703,0.161
28,708,0.162
28,713,0.162
28,718,0.161
28,723,0.163
28,728,0.164
28,733,0.162
28,738,0.166
28,743,0.168
28,748,0.164
28,753,0.164
28,758,0.159
28,763,0.172
28,768,0.167
28,773,0.166
28,778,0.169
28,783,0.166
28,788,0.167
28,793,0.166
28,798,0.17
28,803,0.167
28,808,0.173
28,813,0.173
28,818,0.174
28,823,0.185
28,828,0.17
28,833,0.171
28,838,0.175
28,843,0.173
28,848,0.176
28,853,0.177
28,858,0.173
28,863,0.176
28,868,0.183
28,873,0.175
28,878,0.183
28,883,0.18
28,888,0.182
28,893,0.179
28,898,0.179
28,903,0.179
28,908,0.178
28,913,0.181
28,918,0.181
28,923,0.182
28,928,0.183
28,933,0.185
28,938,0.196
28,943,0.184
28,948,0.185
28,953,0.185
28,958,0.186
28,963,0.188
28,968,0.191
28,973,0.187
28,978,0.19
28,983,0.194
28,988,0.191
28,993,0.187
28,998,0.188
28,1003,0.188
28,1008,0.19
28,1013,0.189
28,1018,0.188
28,1023,0.188
27,3,0.077
27,8,0.088
27,13,0.079
27,18,0.088
27,23,0.09
27,28,0.09
27,33,0.089
27,38,0.095
27,43,0.087
27,48,0.112
27,53,0.097
27,58,0.096
27,63,0.098
27,68,0.1
27,73,0.099
27,78,0.098
27,83,0.097
27,88,0.097
27,93,0.099
27,98,0.098
27,103,0.095
27,108,0.103
27,113,0.107
27,118,0.098
27,123,0.102
27,128,0.103
27,133,0.116
27,138,0.106
27,143,0.106
27,148,0.102
27,153,0.107
27,158,0.103
27,163,0.105
27,168,0.101
27,173,0.105
27,178,0.107
27,183,0.104
27,188,0.113
27,193,0.106
27,198,0.108
27,203,0.125
27,208,0.115
27,213,0.106
27,218,0.11
27,223,0.112
27,228,0.109
27,233,0.114
27,238,0.108
27,243,0.122
27,248,0.119
27,253,0.122
27,258,0.114
27,263,0.114
27,268,0.115
27,273,0.123
27,278,0.119
27,283,0.124
27,288,0.124
27,293,0.121
27,298,0.117
27,303,0.131
27,308,0.123
27,313,0.118
27,318,0.126
27,323,0.137
27,328,0.12
27,333,0.124
27,338,0.121
27,343,0.128
27,348,0.124
27,353,0.123
27,358,0.125
27,363,0.129
27,368,0.128
27,373,0.132
27,378,0.131
27,383,0.126
27,388,0.134
27,393,0.135
27,398,0.138
27,403,0.142
27,408,0.134
27,413,0.137
