HW,kernel,stride,Cin,Cout,FLOPs,latency
224,5,1,128,512,1.64E+11,31.876
224,5,1,128,1024,3.29E+11,69.415
224,5,1,256,3,1926758400,6.866
224,5,1,256,32,20552089600,9.977
224,5,1,256,64,41104179200,17.432
224,5,1,256,128,82208358400,34.101
224,5,1,256,256,1.64E+11,39.786
224,5,1,256,512,3.29E+11,66.122
224,5,1,256,1024,6.58E+11,149.59
224,5,1,512,3,3853516800,15.524
224,5,1,512,32,41104179200,19.654
224,5,1,512,64,82208358400,34.194
224,5,1,512,128,1.64E+11,67.004
224,5,1,512,256,3.29E+11,75.743
224,5,1,512,512,6.58E+11,148.35
224,5,1,512,1024,1.32E+12,309.392
224,5,1,1024,3,7707033600,32.695
224,5,1,1024,32,82208358400,38.971
224,5,1,1024,64,1.64E+11,65.164
224,5,1,1024,128,3.29E+11,73.153
224,5,1,1024,256,6.58E+11,150.546
224,5,1,1024,512,1.32E+12,322.125
224,5,1,1024,1024,2.63E+12,652.517
224,5,2,3,3,5644800,0.174
224,5,2,3,32,60211200,0.176
224,5,2,3,64,120422400,0.169
224,5,2,3,128,240844800,0.231
224,5,2,3,256,481689600,0.333
224,5,2,3,512,963379200,0.546
224,5,2,3,1024,1926758400,0.955
224,5,2,32,3,60211200,0.269
224,5,2,32,32,642252800,0.302
224,5,2,32,64,1284505600,0.708
224,5,2,32,128,2569011200,1.142
224,5,2,32,256,5138022400,2.119
224,5,2,32,512,10276044800,4.076
224,5,2,32,1024,20552089600,7.171
224,5,2,64,3,120422400,0.962
224,5,2,64,32,1284505600,1.24
224,5,2,64,64,2569011200,1.304
224,5,2,64,128,5138022400,2.075
224,5,2,64,256,10276044800,3.966
224,5,2,64,512,20552089600,7.728
224,5,2,64,1024,41104179200,13.01
224,5,2,128,3,240844800,2.146
224,5,2,128,32,2569011200,2.625
224,5,2,128,64,5138022400,2.5
224,5,2,128,128,10276044800,4.004
224,5,2,128,256,20552089600,7.689
224,5,2,128,512,41104179200,15.088
224,5,2,128,1024,82208358400,25.43
224,5,2,256,3,481689600,4.509
224,5,2,256,32,5138022400,5.116
224,5,2,256,64,10276044800,4.762
224,5,2,256,128,20552089600,7.761
224,5,2,256,256,41104179200,15.05
224,5,2,256,512,82208358400,29.658
224,5,2,256,1024,1.64E+11,41.587
224,5,2,512,3,963379200,8.449
224,5,2,512,32,10276044800,10.05
224,5,2,512,64,20552089600,9.235
224,5,2,512,128,41104179200,15.137
224,5,2,512,256,82208358400,29.706
224,5,2,512,512,1.64E+11,58.763
224,5,2,512,1024,3.29E+11,75.586
224,5,2,1024,3,1926758400,17.257
224,5,2,1024,32,20552089600,19.862
224,5,2,1024,64,41104179200,18.165
224,5,2,1024,128,82208358400,29.936
224,5,2,1024,256,1.64E+11,58.988
224,5,2,1024,512,3.29E+11,72.915
224,5,2,1024,1024,6.58E+11,154.179
224,5,4,3,3,1411200,0.16
224,5,4,3,32,15052800,0.161
224,5,4,3,64,30105600,0.164
224,5,4,3,128,60211200,0.157
224,5,4,3,256,120422400,0.16
224,5,4,3,512,240844800,0.238
224,5,4,3,1024,481689600,0.347
224,5,4,32,3,15052800,0.237
224,5,4,32,32,160563200,0.244
224,5,4,32,64,321126400,0.383
224,5,4,32,128,642252800,0.54
224,5,4,32,256,1284505600,0.743
224,5,4,32,512,2569011200,1.189
224,5,4,32,1024,5138022400,2.205
224,5,4,64,3,30105600,0.489
224,5,4,64,32,321126400,0.508
224,5,4,64,64,642252800,0.626
224,5,4,64,128,1284505600,0.933
224,5,4,64,256,2569011200,1.324
224,5,4,64,512,5138022400,2.165
224,5,4,64,1024,10276044800,4.131
224,5,4,128,3,60211200,0.903
224,5,4,128,32,642252800,0.952
224,5,4,128,64,1284505600,1.155
224,5,4,128,128,2569011200,1.779
224,5,4,128,256,5138022400,2.533
224,5,4,128,512,10276044800,4.156
224,5,4,128,1024,20552089600,8.014
224,5,4,256,3,120422400,1.67
224,5,4,256,32,1284505600,1.768
224,5,4,256,64,2569011200,2.115
224,5,4,256,128,5138022400,3.323
224,5,4,256,256,10276044800,4.841
224,5,4,256,512,20552089600,8.056
