HW,kernel,stride,Cin,FLOPs,latency
112,7,1,3,3706872,0.055
112,7,1,6,7841460,0.083
112,7,1,8,10835472,0.103
112,7,1,16,24712480,0.149
112,7,1,32,61591104,0.237
112,7,1,64,171846784,0.427
112,7,1,128,538351872,0.801
112,7,1,256,1855336960,1.545
112,7,1,512,6825206784,3.038
112,7,1,1024,26108545024,5.97
112,7,2,3,943800,0.057
112,7,2,6,1996500,0.067
112,7,2,8,2758800,0.071
112,7,2,16,6292000,0.093
112,7,2,32,15681600,0.122
112,7,2,64,43753600,0.169
112,7,2,128,137068800,0.284
112,7,2,256,472384000,0.526
112,7,2,512,1737753600,1
112,7,2,1024,6647449600,1.884
112,7,4,3,244608,0.06
112,7,4,6,517440,0.064
112,7,4,8,715008,0.068
112,7,4,16,1630720,0.076
112,7,4,32,4064256,0.087
112,7,4,64,11339776,0.113
112,7,4,128,35524608,0.164
112,7,4,256,122429440,0.254
112,7,4,512,450379776,0.468
112,7,4,1024,1722843136,0.797
112,9,1,3,5878656,0.064
112,9,1,6,12177216,0.095
112,9,1,8,16609536,0.123
112,9,1,16,36205056,0.182
112,9,1,32,84354048,0.316
112,9,1,64,216483840,0.581
112,9,1,128,624070656,1.102
112,9,1,256,2012553216,2.148
112,9,1,512,7082754048,4.228
112,9,1,1024,26396098560,8.348
112,9,2,3,1497006,0.064
112,9,2,6,3100941,0.072
112,9,2,8,4229636,0.08
112,9,2,16,9219656,0.113
112,9,2,32,21480848,0.158
112,9,2,64,55127840,0.229
112,9,2,128,158920256,0.403
112,9,2,256,512498816,0.761
112,9,2,512,1803630848,1.456
112,9,2,1024,6721794560,2.783
112,9,4,3,388111.5,0.07
112,9,4,6,803945.25,0.08
112,9,4,8,1096569,0.079
112,9,4,16,2390274,0.084
112,9,4,32,5569092,0.108
112,9,4,64,14292360,0.158
112,9,4,128,41201424,0.223
112,9,4,256,132869664,0.358
112,9,4,512,467606592,0.659
112,9,4,1024,1742682240,1.195
56,1,1,3,75264,0.044
56,1,1,6,263424,0.046
56,1,1,8,451584,0.049
56,1,1,16,1705984,0.053
56,1,1,32,6623232,0.06
56,1,1,64,26091520,0.068
56,1,1,128,103563264,0.091
56,1,1,256,412647424,0.137
56,1,1,512,1647378432,0.222
56,1,1,1024,6583091200,0.401
56,1,2,3,19494,0.045
56,1,2,6,68229,0.046
56,1,2,8,116964,0.052
56,1,2,16,441864,0.05
56,1,2,32,1715472,0.062
56,1,2,64,6757920,0.065
56,1,2,128,26823744,0.068
56,1,2,256,106879104,0.077
56,1,2,512,426684672,0.1
56,1,2,1024,1705075200,0.159
56,1,4,3,5221.5,0.044
56,1,4,6,18275.25,0.046
56,1,4,8,31329,0.048
56,1,4,16,118354,0.058
56,1,4,32,459492,0.059
56,1,4,64,1810120,0.067
56,1,4,128,7184784,0.068
56,1,4,256,28627744,0.067
56,1,4,512,114288192,0.072
56,1,4,1024,456707200,0.103
56,3,1,3,217800,0.044
56,3,1,6,544500,0.046
56,3,1,8,822800,0.053
56,3,1,16,2420000,0.052
56,3,1,32,7937600,0.07
56,3,1,64,28265600,0.076
56,3,1,128,106092800,0.104
56,3,1,256,410432000,0.154
56,3,1,512,1613849600,0.257
56,3,1,1024,6399641600,0.474
56,3,2,3,56448,0.044
56,3,2,6,141120,0.048
56,3,2,8,213248,0.049
56,3,2,16,627200,0.057
56,3,2,32,2057216,0.063
56,3,2,64,7325696,0.065
56,3,2,128,27496448,0.073
56,3,2,256,106373120,0.088
56,3,2,512,418267136,0.127
56,3,2,1024,1658617856,0.206
56,3,4,3,15138,0.046
56,3,4,6,37845,0.047
56,3,4,8,57188,0.058
56,3,4,16,168200,0.052
56,3,4,32,551696,0.067
56,3,4,64,1964576,0.071
56,3,4,128,7373888,0.074
56,3,4,256,28526720,0.075
56,3,4,512,112169216,0.086
56,3,4,1024,444801536,0.128
56,5,1,3,489888,0.045
56,5,1,6,1084752,0.055
56,5,1,8,1539648,0.048
56,5,1,16,3825792,0.061
56,5,1,32,10637568,0.084
56,5,1,64,33219072,0.108
56,5,1,128,114213888,0.17
56,5,1,256,419530752,0.291
56,5,1,512,1603473408,0.532
56,5,1,1024,6264594432,1.014
56,5,2,3,127050,0.045
56,5,2,6,281325,0.045
56,5,2,8,399300,0.051
56,5,2,16,992200,0.053
56,5,2,32,2758800,0.062
56,5,2,64,8615200,0.079
56,5,2,128,29620800,0.098
56,5,2,256,108803200,0.131
56,5,2,512,415852800,0.208
56,5,2,1024,1624691200,0.375
56,5,4,3,34114.5,0.045
56,5,4,6,75539.25,0.05
56,5,4,8,107217,0.05
56,5,4,16,266418,0.061
56,5,4,32,740772,0.058
56,5,4,64,2313288,0.063
56,5,4,128,7953552,0.074
56,5,4,256,29215008,0.093
56,5,4,512,111661632,0.123
56,5,4,1024,436249728,0.185
56,7,1,3,876408,0.059
56,7,1,6,1853940,0.062
56,7,1,8,2561808,0.054
56,7,1,16,5842720,0.083
56,7,1,32,14561856,0.103
56,7,1,64,40629376,0.143
56,7,1,128,127281408,0.241
56,7,1,256,438653440,0.428
56,7,1,512,1613669376,0.801
56,7,1,1024,6172788736,1.55
56,7,2,3,227448,0.056
56,7,2,6,481140,0.055
56,7,2,8,664848,0.055
56,7,2,16,1516320,0.058
56,7,2,32,3779136,0.067
56,7,2,64,10544256,0.105
56,7,2,128,33032448,0.127
56,7,2,256,113840640,0.182
56,7,2,512,418784256,0.311
56,7,2,1024,1601980416,0.574
56,7,4,3,61152,0.048
56,7,4,6,129360,0.058
56,7,4,8,178752,0.061
56,7,4,16,407680,0.064
56,7,4,32,1016064,0.071
56,7,4,64,2834944,0.075
56,7,4,128,8881152,0.091
56,7,4,256,30607360,0.124
56,7,4,512,112594944,0.176
56,7,4,1024,430710784,0.272
56,9,1,3,1362816,0.059
56,9,1,6,2822976,0.071
56,9,1,8,3850496,0.071
56,9,1,16,8393216,0.094
56,9,1,32,19555328,0.125
56,9,1,64,50186240,0.186
56,9,1,128,144674816,0.315
56,9,1,256,466558976,0.573
56,9,1,512,1641955328,1.092
56,9,1,1024,6119260160,2.124
56,9,2,3,353934,0.059
56,9,2,6,733149,0.071
56,9,2,8,1000004,0.062
56,9,2,16,2179784,0.066
56,9,2,32,5078672,0.086
56,9,2,64,13033760,0.128
56,9,2,128,37573184,0.171
56,9,2,256,121169024,0.25
56,9,2,512,426428672,0.449
56,9,2,1024,1589219840,0.848
56,9,4,3,95287.5,0.056
56,9,4,6,197381.25,0.072
56,9,4,8,269225,0.073
56,9,4,16,586850,0.075
56,9,4,32,1367300,0.082
56,9,4,64,3509000,0.088
56,9,4,128,10115600,0.115
56,9,4,256,32621600,0.155
56,9,4,512,114804800,0.243
56,9,4,1024,427856000,0.378
32,1,1,3,24576,0.046
32,1,1,6,86016,0.045
32,1,1,8,147456,0.042
32,1,1,16,557056,0.046
32,1,1,32,2162688,0.05
32,1,1,64,8519680,0.058
32,1,1,128,33816576,0.063
32,1,1,256,134742016,0.078
32,1,1,512,537919488,0.103
32,1,1,1024,2149580800,0.161
32,1,2,3,6534,0.044
32,1,2,6,22869,0.058
32,1,2,8,39204,0.044
32,1,2,16,148104,0.046
32,1,2,32,574992,0.054
