in_features,out_features,FLOPs,latency
1360,1960,5329240,0.086
1360,2110,5737090,0.088
1360,2260,6144940,0.09
1360,2410,6552790,0.095
1360,2560,6960640,0.098
1360,2710,7368490,0.102
1360,2860,7776340,0.106
1360,3010,8184190,0.109
1360,3160,8592040,0.114
1360,3310,8999890,0.116
1360,3460,9407740,0.119
1360,3610,9815590,0.133
1360,3760,10223440,0.125
1360,3910,10631290,0.131
1360,4060,11039140,0.132
1360,4210,11446990,0.137
1360,4360,11854840,0.139
1360,4510,12262690,0.143
1360,4660,12670540,0.146
1360,4810,13078390,0.15
1360,4960,13486240,0.153
1360,5110,13894090,0.169
1360,5260,14301940,0.161
1360,5410,14709790,0.164
1360,5560,15117640,0.168
1360,5710,15525490,0.169
1360,5860,15933340,0.173
1360,6010,16341190,0.174
1360,6160,16749040,0.178
1360,6310,17156890,0.182
1360,6460,17564740,0.184
1360,6610,17972590,0.19
1360,6760,18380440,0.193
1360,6910,18788290,0.195
1360,7060,19196140,0.199
1360,7210,19603990,0.205
1360,7360,20011840,0.21
1360,7510,20419690,0.211
1360,7660,20827540,0.212
1360,7810,21235390,0.226
1360,7960,21643240,0.22
1360,8110,22051090,0.222
1510,10,30190,0.057
1510,160,483040,0.05
1510,310,935890,0.05
1510,460,1388740,0.049
1510,610,1841590,0.052
1510,760,2294440,0.057
1510,910,2747290,0.062
1510,1060,3200140,0.068
1510,1210,3652990,0.072
1510,1360,4105840,0.086
1510,1510,4558690,0.081
1510,1660,5011540,0.09
1510,1810,5464390,0.093
1510,1960,5917240,0.092
1510,2110,6370090,0.095
1510,2260,6822940,0.099
1510,2410,7275790,0.106
1510,2560,7728640,0.115
1510,2710,8181490,0.117
1510,2860,8634340,0.121
1510,3010,9087190,0.118
1510,3160,9540040,0.122
1510,3310,9992890,0.138
1510,3460,10445740,0.133
1510,3610,10898590,0.132
1510,3760,11351440,0.137
1510,3910,11804290,0.14
1510,4060,12257140,0.144
1510,4210,12709990,0.159
1510,4360,13162840,0.156
1510,4510,13615690,0.156
1510,4660,14068540,0.159
1510,4810,14521390,0.167
1510,4960,14974240,0.174
1510,5110,15427090,0.174
1510,5260,15879940,0.179
1510,5410,16332790,0.181
1510,5560,16785640,0.182
1510,5710,17238490,0.19
1510,5860,17691340,0.195
1510,6010,18144190,0.2
1510,6160,18597040,0.197
1510,6310,19049890,0.2
1510,6460,19502740,0.212
1510,6610,19955590,0.212
1510,6760,20408440,0.214
1510,6910,20861290,0.217
1510,7060,21314140,0.221
1510,7210,21766990,0.225
1510,7360,22219840,0.227
1510,7510,22672690,0.235
1510,7660,23125540,0.235
1510,7810,23578390,0.239
1510,7960,24031240,0.242
1510,8110,24484090,0.254
1660,10,33190,0.071
1660,160,531040,0.053
1660,310,1028890,0.049
1660,460,1526740,0.051
1660,610,2024590,0.048
1660,760,2522440,0.076
1660,910,3020290,0.066
1660,1060,3518140,0.072
1660,1210,4015990,0.074
1660,1360,4513840,0.082
1660,1510,5011690,0.083
1660,1660,5509540,0.091
1660,1810,6007390,0.095
1660,1960,6505240,0.1
1660,2110,7003090,0.1
1660,2260,7500940,0.106
1660,2410,7998790,0.11
1660,2560,8496640,0.114
1660,2710,8994490,0.128
1660,2860,9492340,0.128
1660,3010,9990190,0.137
1660,3160,10488040,0.128
1660,3310,10985890,0.136
1660,3460,11483740,0.139
1660,3610,11981590,0.143
1660,3760,12479440,0.149
1660,3910,12977290,0.154
1660,4060,13475140,0.155
1660,4210,13972990,0.158
1660,4360,14470840,0.162
1660,4510,14968690,0.166
1660,4660,15466540,0.169
1660,4810,15964390,0.173
1660,4960,16462240,0.178
1660,5110,16960090,0.189
1660,5260,17457940,0.185
1660,5410,17955790,0.19
1660,5560,18453640,0.193
1660,5710,18951490,0.205
1660,5860,19449340,0.202
1660,6010,19947190,0.206
1660,6160,20445040,0.21
1660,6310,20942890,0.215
1660,6460,21440740,0.218
1660,6610,21938590,0.223
1660,6760,22436440,0.226
1660,6910,22934290,0.233
1660,7060,23432140,0.235
1660,7210,23929990,0.24
1660,7360,24427840,0.25
1660,7510,24925690,0.246
1660,7660,25423540,0.25
1660,7810,25921390,0.252
1660,7960,26419240,0.255
1660,8110,26917090,0.266
1810,10,36190,0.055
1810,160,579040,0.051
1810,310,1121890,0.058
1810,460,1664740,0.064
1810,610,2207590,0.052
1810,760,2750440,0.062
1810,910,3293290,0.066
1810,1060,3836140,0.073
1810,1210,4378990,0.077
1810,1360,4921840,0.086
1810,1510,5464690,0.087
1810,1660,6007540,0.093
1810,1810,6550390,0.102
1810,1960,7093240,0.1
1810,2110,7636090,0.102
1810,2260,8178940,0.11
1810,2410,8721790,0.117
1810,2560,9264640,0.119
1810,2710,9807490,0.123
1810,2860,10350340,0.127
1810,3010,10893190,0.13
1810,3160,11436040,0.134
1810,3310,11978890,0.142
1810,3460,12521740,0.144
1810,3610,13064590,0.149
1810,3760,13607440,0.152
1810,3910,14150290,0.156
1810,4060,14693140,0.162
1810,4210,15235990,0.167
1810,4360,15778840,0.171
1810,4510,16321690,0.175
1810,4660,16864540,0.184
1810,4810,17407390,0.184
1810,4960,17950240,0.188
1810,5110,18493090,0.203
1810,5260,19035940,0.197
1810,5410,19578790,0.201
1810,5560,20121640,0.205
1810,5710,20664490,0.209
1810,5860,21207340,0.215
1810,6010,21750190,0.217
1810,6160,22293040,0.229
1810,6310,22835890,0.234
1810,6460,23378740,0.231
1810,6610,23921590,0.242
1810,6760,24464440,0.24
1810,6910,25007290,0.249
1810,7060,25550140,0.25
1810,7210,26092990,0.252
1810,7360,26635840,0.262
1810,7510,27178690,0.261
1810,7660,27721540,0.265
1810,7810,28264390,0.269
1810,7960,28807240,0.28
1810,8110,29350090,0.283
1960,10,39190,0.055
1960,160,627040,0.049
1960,310,1214890,0.048
1960,460,1802740,0.049
1960,610,2390590,0.069
1960,760,2978440,0.063
1960,910,3566290,0.079
1960,1060,4154140,0.077
1960,1210,4741990,0.08
1960,1360,5329840,0.089
1960,1510,5917690,0.093
1960,1660,6505540,0.103
1960,1810,7093390,0.116
1960,1960,7681240,0.109
1960,2110,8269090,0.113
1960,2260,8856940,0.117
1960,2410,9444790,0.123
1960,2560,10032640,0.128
1960,2710,10620490,0.137
1960,2860,11208340,0.142
1960,3010,11796190,0.145
1960,3160,12384040,0.148
1960,3310,12971890,0.165
1960,3460,13559740,0.159
1960,3610,14147590,0.16
1960,3760,14735440,0.166
1960,3910,15323290,0.174
1960,4060,15911140,0.178
1960,4210,16498990,0.186
1960,4360,17086840,0.192
1960,4510,17674690,0.192
1960,4660,18262540,0.195
1960,4810,18850390,0.201
1960,4960,19438240,0.201
1960,5110,20026090,0.21
1960,5260,20613940,0.216
1960,5410,21201790,0.219
1960,5560,21789640,0.226
1960,5710,22377490,0.228
1960,5860,22965340,0.236
1960,6010,23553190,0.24
1960,6160,24141040,0.25
1960,6310,24728890,0.252
1960,6460,25316740,0.253
1960,6610,25904590,0.256
1960,6760,26492440,0.262
1960,6910,27080290,0.268
1960,7060,27668140,0.277
1960,7210,28255990,0.276
1960,7360,28843840,0.279
1960,7510,29431690,0.288
1960,7660,30019540,0.29
1960,7810,30607390,0.298
1960,7960,31195240,0.308
1960,8110,31783090,0.309
2110,10,42190,0.07
2110,160,675040,0.049
2110,310,1307890,0.05
2110,460,1940740,0.078
2110,610,2573590,0.06
2110,760,3206440,0.066
2110,910,3839290,0.072
2110,1060,4472140,0.079
2110,1210,5104990,0.096
2110,1360,5737840,0.091
2110,1510,6370690,0.095
2110,1660,7003540,0.102
2110,1810,7636390,0.108
2110,1960,8269240,0.122
2110,2110,8902090,0.115
2110,2260,9534940,0.121
2110,2410,10167790,0.127
2110,2560,10800640,0.131
2110,2710,11433490,0.138
2110,2860,12066340,0.142
2110,3010,12699190,0.149
2110,3160,13332040,0.152
2110,3310,13964890,0.159
2110,3460,14597740,0.169
2110,3610,15230590,0.167
2110,3760,15863440,0.172
2110,3910,16496290,0.177
2110,4060,17129140,0.182
2110,4210,17761990,0.19
2110,4360,18394840,0.193
2110,4510,19027690,0.205
2110,4660,19660540,0.203
2110,4810,20293390,0.208
2110,4960,20926240,0.212
2110,5110,21559090,0.224
2110,5260,22191940,0.235
2110,5410,22824790,0.238
2110,5560,23457640,0.232
2110,5710,24090490,0.244
2110,5860,24723340,0.245
2110,6010,25356190,0.249
2110,6160,25989040,0.259
2110,6310,26621890,0.258
2110,6460,27254740,0.263
2110,6610,27887590,0.269
2110,6760,28520440,0.273
2110,6910,29153290,0.277
2110,7060,29786140,0.287
2110,7210,30418990,0.29
2110,7360,31051840,0.295
2110,7510,31684690,0.299
2110,7660,32317540,0.304
2110,7810,32950390,0.309
2110,7960,33583240,0.316
2110,8110,34216090,0.32
2260,10,45190,0.056
2260,160,723040,0.048
2260,310,1400890,0.078
2260,460,2078740,0.049
2260,610,2756590,0.061
2260,760,3434440,0.07
2260,910,4112290,0.076
2260,1060,4790140,0.081
2260,1210,5467990,0.087
2260,1360,6145840,0.108
2260,1510,6823690,0.101
2260,1660,7501540,0.109
2260,1810,8179390,0.113
2260,1960,8857240,0.116
2260,2110,9535090,0.161
2260,2260,10212940,0.128
2260,2410,10890790,0.135
2260,2560,11568640,0.144
2260,2710,12246490,0.148
2260,2860,12924340,0.152
2260,3010,13602190,0.172
2260,3160,14280040,0.162
2260,3310,14957890,0.167
2260,3460,15635740,0.172
2260,3610,16313590,0.178
2260,3760,16991440,0.189
2260,3910,17669290,0.189
2260,4060,18347140,0.193
2260,4210,19024990,0.203
2260,4360,19702840,0.207
2260,4510,20380690,0.254
2260,4660,21058540,0.216
2260,4810,21736390,0.224
2260,4960,22414240,0.229
2260,5110,23092090,0.232
2260,5260,23769940,0.237
2260,5410,24447790,0.254
2260,5560,25125640,0.25
2260,5710,25803490,0.261
2260,5860,26481340,0.258
2260,6010,27159190,0.265
2260,6160,27837040,0.27
2260,6310,28514890,0.287
2260,6460,29192740,0.28
2260,6610,29870590,0.286
