HW,kernel,stride,Cin,latency
112,1,1,1003,1.412
112,1,2,3,0.041
112,1,2,53,0.06
112,1,2,103,0.078
112,1,2,153,0.096
112,1,2,203,0.114
112,1,2,253,0.142
112,1,2,303,0.164
112,1,2,353,0.185
112,1,2,403,0.209
112,1,2,453,0.228
112,1,2,503,0.248
112,1,2,553,0.265
112,1,2,603,0.283
112,1,2,653,0.302
112,1,2,703,0.336
112,1,2,753,0.338
112,1,2,803,0.356
112,1,2,853,0.373
112,1,2,903,0.391
112,1,2,953,0.413
112,1,2,1003,0.423
112,1,4,3,0.043
112,1,4,53,0.055
112,1,4,103,0.058
112,1,4,153,0.06
112,1,4,203,0.068
112,1,4,253,0.079
112,1,4,303,0.089
112,1,4,353,0.101
112,1,4,403,0.105
112,1,4,453,0.101
112,1,4,503,0.112
112,1,4,553,0.117
112,1,4,603,0.128
112,1,4,653,0.131
112,1,4,703,0.141
112,1,4,753,0.153
112,1,4,803,0.161
112,1,4,853,0.166
112,1,4,903,0.172
112,1,4,953,0.176
112,1,4,1003,0.183
112,3,1,3,0.051
112,3,1,53,0.167
112,3,1,103,0.285
112,3,1,153,0.404
112,3,1,203,0.524
112,3,1,253,0.644
112,3,1,303,0.769
112,3,1,353,0.886
112,3,1,403,1.005
112,3,1,453,1.131
112,3,1,503,1.247
112,3,1,553,1.365
112,3,1,603,1.482
112,3,1,653,1.601
112,3,1,703,1.719
112,3,1,753,1.836
112,3,1,803,1.951
112,3,1,853,2.162
112,3,1,903,2.187
112,3,1,953,2.305
112,3,1,1003,2.422
112,3,2,3,0.042
112,3,2,53,0.073
112,3,2,103,0.105
112,3,2,153,0.137
112,3,2,203,0.172
112,3,2,253,0.209
112,3,2,303,0.243
112,3,2,353,0.28
112,3,2,403,0.312
112,3,2,453,0.347
112,3,2,503,0.381
112,3,2,553,0.409
112,3,2,603,0.442
112,3,2,653,0.472
112,3,2,703,0.504
112,3,2,753,0.532
112,3,2,803,0.564
112,3,2,853,0.597
112,3,2,903,0.626
112,3,2,953,0.656
112,3,2,1003,0.687
112,3,4,3,0.046
112,3,4,53,0.055
112,3,4,103,0.066
112,3,4,153,0.081
112,3,4,203,0.096
112,3,4,253,0.111
112,3,4,303,0.132
112,3,4,353,0.149
112,3,4,403,0.164
112,3,4,453,0.175
112,3,4,503,0.187
112,3,4,553,0.204
