HW,output,Cin,latency
112,28,123,0.087
112,28,153,0.093
112,28,183,0.119
112,28,213,0.128
112,28,243,0.136
112,28,273,0.145
112,28,303,0.156
112,28,333,0.19
112,28,363,0.214
112,28,393,0.197
112,28,423,0.203
112,28,453,0.214
112,28,483,0.238
112,28,513,0.242
112,28,543,0.246
112,28,573,0.253
112,28,603,0.256
112,28,633,0.268
112,28,663,0.285
112,28,693,0.291
112,28,723,0.297
112,28,753,0.302
112,28,783,0.312
112,28,813,0.329
112,28,843,0.333
112,28,873,0.336
112,28,903,0.342
112,28,933,0.352
112,28,963,0.37
112,28,993,0.373
112,28,1023,0.378
112,27,3,0.042
112,27,33,0.075
112,27,63,0.081
112,27,93,0.089
112,27,123,0.101
112,27,153,0.102
112,27,183,0.134
112,27,213,0.139
112,27,243,0.15
112,27,273,0.159
112,27,303,0.19
112,27,333,0.21
112,27,363,0.21
112,27,393,0.216
112,27,423,0.23
112,27,453,0.241
112,27,483,0.257
112,27,513,0.263
112,27,543,0.273
112,27,573,0.283
112,27,603,0.293
112,27,633,0.297
112,27,663,0.321
112,27,693,0.322
112,27,723,0.331
112,27,753,0.338
112,27,783,0.351
112,27,813,0.362
112,27,843,0.371
112,27,873,0.383
112,27,903,0.386
112,27,933,0.395
112,27,963,0.404
112,27,993,0.418
112,27,1023,0.425
112,14,3,0.046
112,14,33,0.072
112,14,63,0.08
112,14,93,0.089
112,14,123,0.105
112,14,153,0.11
112,14,183,0.134
112,14,213,0.138
112,14,243,0.153
112,14,273,0.16
112,14,303,0.175
112,14,333,0.199
112,14,363,0.208
112,14,393,0.213
112,14,423,0.228
112,14,453,0.24
112,14,483,0.259
112,14,513,0.265
112,14,543,0.273
112,14,573,0.285
112,14,603,0.296
112,14,633,0.3
112,14,663,0.318
112,14,693,0.326
112,14,723,0.336
112,14,753,0.344
112,14,783,0.356
112,14,813,0.374
112,14,843,0.383
112,14,873,0.388
112,14,903,0.396
112,14,933,0.407
112,14,963,0.425
112,14,993,0.426
112,14,1023,0.436
112,13,3,0.048
112,13,33,0.072
112,13,63,0.078
112,13,93,0.086
112,13,123,0.1
112,13,153,0.098
112,13,183,0.13
112,13,213,0.135
112,13,243,0.145
112,13,273,0.151
112,13,303,0.165
112,13,333,0.195
112,13,363,0.202
112,13,393,0.206
112,13,423,0.214
112,13,453,0.225
112,13,483,0.251
112,13,513,0.252
112,13,543,0.255
112,13,573,0.264
112,13,603,0.274
112,13,633,0.277
112,13,663,0.299
112,13,693,0.3
112,13,723,0.311
112,13,753,0.316
112,13,783,0.337
112,13,813,0.35
112,13,843,0.349
112,13,873,0.353
112,13,903,0.362
112,13,933,0.371
112,13,963,0.385
112,13,993,0.392
112,13,1023,0.396
112,8,3,0.052
112,8,33,0.069
112,8,63,0.082
112,8,93,0.1
112,8,123,0.106
112,8,153,0.102
112,8,183,0.12
112,8,213,0.127
112,8,243,0.139
112,8,273,0.145
112,8,303,0.162
112,8,333,0.179
112,8,363,0.189
112,8,393,0.199
112,8,423,0.21
112,8,453,0.222
112,8,483,0.232
112,8,513,0.237
112,8,543,0.248
112,8,573,0.256
112,8,603,0.269
112,8,633,0.274
112,8,663,0.282
112,8,693,0.293
112,8,723,0.303
112,8,753,0.308
112,8,783,0.318
112,8,813,0.328
112,8,843,0.34
112,8,873,0.342
112,8,903,0.356
112,8,933,0.366
112,8,963,0.374
112,8,993,0.381
112,8,1023,0.39
112,7,3,0.055
112,7,33,0.076
112,7,63,0.101
112,7,93,0.12
112,7,123,0.149
112,7,153,0.16
112,7,183,0.189
112,7,213,0.218
112,7,243,0.239
112,7,273,0.254
112,7,303,0.294
112,7,333,0.314
112,7,363,0.328
112,7,393,0.338
112,7,423,0.368
112,7,453,0.393
112,7,483,0.418
112,7,513,0.426
112,7,543,0.459
112,7,573,0.489
112,7,603,0.498
112,7,633,0.505
112,7,663,0.534
112,7,693,0.565
112,7,723,0.579
112,7,753,0.584
112,7,783,0.61
112,7,813,0.63
112,7,843,0.651
112,7,873,0.659
112,7,903,0.684
112,7,933,0.707
112,7,963,0.724
112,7,993,0.734
112,7,1023,0.758
112,6,3,0.066
112,6,33,0.08
112,6,63,0.09
112,6,93,0.104
112,6,123,0.129
112,6,153,0.132
112,6,183,0.167
112,6,213,0.183
112,6,243,0.196
112,6,273,0.199
112,6,303,0.219
112,6,333,0.247
112,6,363,0.269
112,6,393,0.276
112,6,423,0.291
112,6,453,0.311
112,6,483,0.321
112,6,513,0.332
112,6,543,0.352
112,6,573,0.362
112,6,603,0.379
112,6,633,0.384
112,6,663,0.398
112,6,693,0.417
112,6,723,0.435
112,6,753,0.441
112,6,783,0.461
112,6,813,0.473
112,6,843,0.488
112,6,873,0.496
112,6,903,0.511
112,6,933,0.526
112,6,963,0.545
112,6,993,0.549
112,6,1023,0.563
112,1,3,0.052
112,1,33,0.066
112,1,63,0.07
112,1,93,0.075
112,1,123,0.086
112,1,153,0.098
112,1,183,0.113
112,1,213,0.123
112,1,243,0.131
112,1,273,0.14
112,1,303,0.151
112,1,333,0.169
112,1,363,0.184
112,1,393,0.19
112,1,423,0.199
112,1,453,0.202
112,1,483,0.215
112,1,513,0.226
112,1,543,0.233
112,1,573,0.25
112,1,603,0.254
112,1,633,0.249
112,1,663,0.257
112,1,693,0.268
112,1,723,0.27
112,1,753,0.28
112,1,783,0.287
112,1,813,0.296
112,1,843,0.303
112,1,873,0.306
112,1,903,0.312
112,1,933,0.318
112,1,963,0.332
112,1,993,0.327
112,1,1023,0.339
56,56,3,0.049
56,56,33,0.071
56,56,63,0.084
56,56,93,0.096
56,56,123,0.108
56,56,153,0.107
56,56,183,0.128
56,56,213,0.138
56,56,243,0.149
56,56,273,0.15
56,56,303,0.165
56,56,333,0.18
56,56,363,0.19
56,56,393,0.19
56,56,423,0.204
56,56,453,0.224
56,56,483,0.233
56,56,513,0.235
56,56,543,0.248
56,56,573,0.261
56,56,603,0.276
56,56,633,0.275
56,56,663,0.29
56,56,693,0.303
56,56,723,0.315
56,56,753,0.319
56,56,783,0.332
56,56,813,0.348
56,56,843,0.363
56,56,873,0.371
56,56,903,0.384
56,56,933,0.389
56,56,963,0.402
56,56,993,0.406
56,56,1023,0.421
56,32,3,0.04
56,32,33,0.06
56,32,63,0.062
56,32,93,0.069
56,32,123,0.079
56,32,153,0.078
56,32,183,0.087
56,32,213,0.091
56,32,243,0.099
56,32,273,0.099
56,32,303,0.107
56,32,333,0.115
56,32,363,0.119
56,32,393,0.122
56,32,423,0.129
56,32,453,0.137
56,32,483,0.143
56,32,513,0.142
56,32,543,0.15
56,32,573,0.159
56,32,603,0.163
56,32,633,0.165
56,32,663,0.174
56,32,693,0.184
56,32,723,0.19
